Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Temperature Sensitive Allele	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Channels	Comments
Plate1-TS-Blue-A-Stinger	40	E8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11694	YDL132W	CDC53	cdc53-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	41	F1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06420	YCR002C	CDC10	cdc10-2	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	42	F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11236	YEL034W	HYP2	hyp2-3	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	43	F3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08288	YLR268W	SEC22	sec22-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	44	F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10097	YBR143C	SUP45	sup45-ts	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	45	F5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08003	YPR103W	PRE2	pre2-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	46	F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12332	YDL147W	RPN5	rpn5-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	47	F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11867	YFR037C	RSC8	rsc8-ts16	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	48	F8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12326	YDL097C	RPN6	rpn6-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	1	A1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07350	YFL039C	ACT1	act1-133	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
