Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Gene Identifier	Gene Symbol	Gene Symbol Synonyms	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Control Comments	Channels	Comments
Plate1-Blue-A	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR099C	ICT1		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	40	E8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	41	F1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	42	F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	43	F3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	44	F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	45	F5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	46	F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	47	F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	48	F8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR128C	ADE2		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	1	A1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLL061W	MMP1		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR017W	MEU1		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
