siRNA Identifier	Gene Identifier	Gene Symbol	siRNA Hit	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9	Phenotype 10	Phenotype 11	Phenotype 12	Phenotype 13	Phenotype 14	Phenotype 15	Phenotype 16	Phenotype 17	Phenotype 18	Phenotype 19	Phenotype 20	Phenotype 21	Phenotype 22	Phenotype 23	Phenotype 24	Phenotype 25	Phenotype 26
DRSC18120	FBgn0260658	CG42541	yes	yes	single replicate of reagent																							no cells			
DRSC04644	FBgn0261394	Pros29	yes	yes	single replicate of reagent																							no cells			
DRSC03318	FBgn0261396	Rpn3	yes																									no cells			
DRSC18711	FBgn0004403	RpS14a	yes																												
DRSC05666	FBgn0028382	cyp33	yes																												
DRSC08687	FBgn0035136	CG6905	yes																												
DRSC03714	FBgn0025674	CycK	yes																												
DRSC06036	FBgn0033160	CG11107	yes																												
DRSC10145	FBgn0036143	CG14142	yes																												
DRSC10624	FBgn0036733	U4-U6-60K	yes																												
DRSC15014	FBgn0038447	CG14892	yes																												
DRSC08169	FBgn0052264	CG32264	yes																												
DRSC11744	FBgn0052432	CG32432	yes																												
DRSC06218	FBgn0085392	CG34363	yes																												
DRSC15877	FBgn0250820	CG5802	yes																												
DRSC16553	FBgn0260935	ird1	yes																												
