Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Gene Identifier	Gene Symbol	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Channels	Comments
Target-1-A	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YPL178W	CBC2	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YEL004W		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-A	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR027C	AAT2	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YPR157W		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	24	C8								empty well		
Target-1-A	25	D1								empty well		
Target-1-A	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YAL044C	GCV3	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR198W		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-A	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR219C		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-A	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YML001W		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YPR141C	KAR3	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	32	D8								empty well		
Target-1-A	33	E1								empty well		
Target-1-A	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YAL062W	GDH3	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR056W		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-A	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YPL188W		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-A	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YGR105W		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-A	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YDR227W		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-A	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YPL003W	ULA1	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	40	E8								empty well		
Target-1-A	41	F1								empty well		
Target-1-A	42	F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	43	F3								empty well		
Target-1-A	44	F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YNL280C		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-A	45	F5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR226W		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-A	46	F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YKL135C		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-A	47	F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-A	48	F8								empty well		
Target-1-B	1	A1								empty well		
Target-1-B	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR148W		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YHR086W	NAM8	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YKL177W		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-B	6	A6								empty well		
Target-1-B	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	8	A8								empty well		
Target-1-B	9	B1								empty well		
Target-1-B	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR099C	ICT1	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR145C	NDE1	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YKL178C	STE3	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-B	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YPL086C	ELP3	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-B	16	B8								empty well		
Target-1-B	17	C1								empty well		
Target-1-B	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR023C	IZH3	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR140W	SIP5	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR212W	STE4	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-B	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YGR006W	PRP18	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-B	24	C8								empty well		
Target-1-B	25	D1								empty well		
Target-1-B	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR004C	THI73	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR206W		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YEL029C	BUD16	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-B	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YPR173C	VPS4	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	32	D8								empty well		
Target-1-B	33	E1								empty well		
Target-1-B	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLL053C		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR190C	SGS1	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOL049W	GSH2	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YER039C	HVG1	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-B	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YPR197C		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	40	E8								empty well		
Target-1-B	41	F1								empty well		
Target-1-B	42	F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	43	F3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	44	F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOL031C	SIL1	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	45	F5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YHR177W	GON3	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-1-B	46	F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	47	F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-1-B	48	F8								empty well		
Target-2-A	1	A1								empty well		
Target-2-A	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YHR004C	NEM1	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YDL041W		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-A	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YDR294C	DPL1	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-A	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YNR036C		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-A	8	A8								empty well		
Target-2-A	9	B1								empty well		
Target-2-A	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YIL014W	MNT3	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
