Plate	Plate Column	Plate Row	Well	Well Number	Comments
experiment_17	5	1	A5	5	annotation coming soon
experiment_17	6	1	A6	6	annotation coming soon
experiment_17	7	1	A7	7	annotation coming soon
experiment_17	8	1	A8	8	annotation coming soon
experiment_17	9	1	A9	9	annotation coming soon
experiment_17	1	2	B1	13	annotation coming soon
experiment_17	2	2	B2	14	annotation coming soon
experiment_17	3	2	B3	15	annotation coming soon
experiment_17	4	2	B4	16	annotation coming soon
experiment_17	5	2	B5	17	annotation coming soon
experiment_17	6	2	B6	18	annotation coming soon
experiment_17	7	2	B7	19	annotation coming soon
experiment_17	8	2	B8	20	annotation coming soon
experiment_17	9	2	B9	21	annotation coming soon
experiment_18	1	1	A1	1	annotation coming soon
experiment_18	2	1	A2	2	annotation coming soon
experiment_18	3	1	A3	3	annotation coming soon
experiment_18	4	1	A4	4	annotation coming soon
experiment_18	5	1	A5	5	annotation coming soon
experiment_18	6	1	A6	6	annotation coming soon
experiment_18	7	1	A7	7	annotation coming soon
experiment_18	8	1	A8	8	annotation coming soon
experiment_18	9	1	A9	9	annotation coming soon
experiment_18	1	3	C1	25	annotation coming soon
experiment_18	2	3	C2	26	annotation coming soon
experiment_18	3	3	C3	27	annotation coming soon
experiment_18	4	3	C4	28	annotation coming soon
experiment_18	5	3	C5	29	annotation coming soon
experiment_18	6	3	C6	30	annotation coming soon
experiment_18	7	3	C7	31	annotation coming soon
experiment_18	8	3	C8	32	annotation coming soon
experiment_18	9	3	C9	33	annotation coming soon
experiment_18	1	4	D1	37	annotation coming soon
experiment_18	2	4	D2	38	annotation coming soon
experiment_18	3	4	D3	39	annotation coming soon
experiment_18	4	4	D4	40	annotation coming soon
experiment_18	5	4	D5	41	annotation coming soon
experiment_18	6	4	D6	42	annotation coming soon
experiment_18	7	4	D7	43	annotation coming soon
experiment_18	8	4	D8	44	annotation coming soon
experiment_18	9	4	D9	45	annotation coming soon
experiment_19	2	2	B2	14	annotation coming soon
experiment_19	3	2	B3	15	annotation coming soon
experiment_19	4	2	B4	16	annotation coming soon
experiment_19	5	2	B5	17	annotation coming soon
experiment_19	6	2	B6	18	annotation coming soon
experiment_19	7	2	B7	19	annotation coming soon
