PLATE	ERSyto	ERSytoBleed	Hoechst	Mito	Ph_golgi
24656	2304	2304	2304	2304	2304
24277	2304	2304	2304	2304	2304
24313	2304	2304	2304	2304	2304
24312	2304	2304	2304	2304	2304
24311	2304	2304	2304	2304	2304
24310	2304	2304	2304	2304	2304
24518	2304	2304	2304	2304	2304
24591	2304	2304	2304	2304	2304
24515	2304	2304	2304	2304	2304
24514	2304	2304	2304	2304	2304
24517	2304	2304	2304	2304	2304
24516	2304	2304	2304	2304	2304
24357	2304	2304	2304	2304	2304
24638	2304	2304	2304	2304	2304
24639	2304	2304	2304	2304	2304
24652	2304	2304	2304	2304	2304
24293	2304	2304	2304	2304	2304
24636	2304	2304	2304	2304	2304
24637	2304	2304	2304	2304	2304
24296	2304	2304	2304	2304	2304
24657	2304	2304	2304	2304	2304
24654	2304	2304	2304	2304	2304
24655	2304	2304	2304	2304	2304
24309	2304	2304	2304	2304	2304
24308	2304	2304	2304	2304	2304
24525	2304	2304	2304	2304	2304
24320	2304	2304	2304	2304	2304
24321	2304	2304	2304	2304	2304
24635	2304	2304	2304	2304	2304
24300	2304	2304	2304	2304	2304
24301	2304	2304	2304	2304	2304
24302	2304	2304	2304	2304	2304
24303	2304	2304	2304	2304	2304
24305	2304	2304	2304	2304	2304
24306	2304	2304	2304	2304	2304
24667	2304	2304	2304	2304	2304
24666	2304	2304	2304	2304	2304
24651	2304	2304	2304	2304	2304
24663	2304	2304	2304	2304	2304
24688	2304	2304	2304	2304	2304
24508	2304	2304	2304	2304	2304
24509	2304	2304	2304	2304	2304
24685	2304	2304	2304	2304	2304
24684	2304	2304	2304	2304	2304
24687	2304	2304	2304	2304	2304
24683	2304	2304	2304	2304	2304
24648	2304	2304	2304	2304	2304
24294	2304	2304	2304	2304	2304
24640	2304	2304	2304	2304	2304
24643	2304	2304	2304	2304	2304
24295	2304	2304	2304	2304	2304
24645	2304	2304	2304	2304	2304
24644	2304	2304	2304	2304	2304
24647	2304	2304	2304	2304	2304
24646	2304	2304	2304	2304	2304
