Plate	Well	Plate_Well	Gene Identifier	Gene Symbol	Experimental Condition[genotype]	Changed in allR	Observation	Phenotype
smt3allR_plate2	M15	smt3allR_plate2_M15	YPL209C	IPL1	smt3allR	yes	fish hook	the smt3allR mutant displays spindles with fish hook morphology1
WT_plate2	M15	WT_plate2_M15	YPL209C	IPL1	wild type smt3	yes		
pro-smt3allR_plate4	C1	pro-smt3allR_plate4_C1	YPL221W	FLC1	pro-smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
smt3allR_plate4	C1	smt3allR_plate4_C1	YPL221W	FLC1	smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
WT_plate4	C1	WT_plate4_C1	YPL221W	FLC1	wild type smt3	yes		
pro-smt3allR_plate2	C15	pro-smt3allR_plate2_C15	YPL243W	SRP68	pro-smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
smt3allR_plate2	C15	smt3allR_plate2_C15	YPL243W	SRP68	smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
WT_plate2	C15	WT_plate2_C15	YPL243W	SRP68	wild type smt3	yes		
pro-smt3allR_plate1	E15	pro-smt3allR_plate1_E15	YPR019W	MCM4	pro-smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
smt3allR_plate1	E15	smt3allR_plate1_E15	YPR019W	MCM4	smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
WT_plate1	E15	WT_plate1_E15	YPR019W	MCM4	wild type smt3	yes		
pro-smt3allR_plate2	O1	pro-smt3allR_plate2_O1	YPR035W	GLN1	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate2	O1	smt3allR_plate2_O1	YPR035W	GLN1	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate2	O1	WT_plate2_O1	YPR035W	GLN1	wild type smt3	yes		
smt3allR_plate4	A5	smt3allR_plate4_A5	YPR055W	SEC8	smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
pro-smt3allR_plate4	A5	pro-smt3allR_plate4_A5	YPR055W	SEC8	pro-smt3allR	yes		
WT_plate4	A5	WT_plate4_A5	YPR055W	SEC8	wild type smt3	yes		
pro-smt3allR_plate2	O17	pro-smt3allR_plate2_O17	YPR075C	OPY2	pro-smt3allR	yes	punctate PM	the smt3allR mutant shows a more punctate GFP localization at the plasma membrane
smt3allR_plate2	O17	smt3allR_plate2_O17	YPR075C	OPY2	smt3allR	yes	punctate PM	the smt3allR mutant shows a more punctate GFP localization at the plasma membrane
WT_plate2	O17	WT_plate2_O17	YPR075C	OPY2	wild type smt3	yes		
pro-smt3allR_plate4	I1	pro-smt3allR_plate4_I1	YPR124W	CTR1	pro-smt3allR	yes	punctate PM	the smt3allR mutant shows a more punctate GFP localization at the plasma membrane
smt3allR_plate4	I1	smt3allR_plate4_I1	YPR124W	CTR1	smt3allR	yes	punctate PM	the smt3allR mutant shows a more punctate GFP localization at the plasma membrane
WT_plate4	I1	WT_plate4_I1	YPR124W	CTR1	wild type smt3	yes		
pro-smt3allR_plate3	M1	pro-smt3allR_plate3_M1	YBL003C	Hta2	pro-smt3allR	no		
smt3allR_plate3	M1	smt3allR_plate3_M1	YBL003C	Hta2	smt3allR	no		
WT_plate3	M1	WT_plate3_M1	YBL003C	Hta2	wild type smt3	no		
pro-smt3allR_plate1	E9	pro-smt3allR_plate1_E9	YBL005W	PDR3	pro-smt3allR	no		
smt3allR_plate1	E9	smt3allR_plate1_E9	YBL005W	PDR3	smt3allR	no		
WT_plate1	E9	WT_plate1_E9	YBL005W	PDR3	wild type smt3	no		
pro-smt3allR_plate4	E3	pro-smt3allR_plate4_E3	YBL042C	FUI1	pro-smt3allR	no		
smt3allR_plate4	E3	smt3allR_plate4_E3	YBL042C	FUI1	smt3allR	no		
WT_plate4	E3	WT_plate4_E3	YBL042C	FUI1	wild type smt3	no		
pro-smt3allR_plate2	A13	pro-smt3allR_plate2_A13	YBL060W	YEL1	pro-smt3allR	no		
smt3allR_plate2	A13	smt3allR_plate2_A13	YBL060W	YEL1	smt3allR	no		
WT_plate2	A13	WT_plate2_A13	YBL060W	YEL1	wild type smt3	no		
pro-smt3allR_plate1	C23	pro-smt3allR_plate1_C23	YBL085W	BOI1	pro-smt3allR	no		
smt3allR_plate1	C23	smt3allR_plate1_C23	YBL085W	BOI1	smt3allR	no		
WT_plate1	C23	WT_plate1_C23	YBL085W	BOI1	wild type smt3	no		
pro-smt3allR_plate1	C1	pro-smt3allR_plate1_C1	YBL105C	PKC1	pro-smt3allR	no		
smt3allR_plate1	C1	smt3allR_plate1_C1	YBL105C	PKC1	smt3allR	no		
WT_plate1	C1	WT_plate1_C1	YBL105C	PKC1	wild type smt3	no		
smt3allR_plate1	O17	smt3allR_plate1_O17	YBL111C	YBL111C	smt3allR	no		
pro-smt3allR_plate1	O17	pro-smt3allR_plate1_O17	YBL111C	YBL111C	pro-smt3allR	no		
WT_plate1	O17	WT_plate1_O17	YBL111C	YBL111C	wild type smt3	no		
pro-smt3allR_plate4	C23	pro-smt3allR_plate4_C23	YBR008C	FLR1	pro-smt3allR	no		
smt3allR_plate4	C23	smt3allR_plate4_C23	YBR008C	FLR1	smt3allR	no		
WT_plate4	C23	WT_plate4_C23	YBR008C	FLR1	wild type smt3	no		
smt3allR_plate3	M9	smt3allR_plate3_M9	YBR009C	Hhf1	smt3allR	no	very few cells	
pro-smt3allR_plate3	M9	pro-smt3allR_plate3_M9	YBR009C	Hhf1	pro-smt3allR	no		
WT_plate3	M9	WT_plate3_M9	YBR009C	Hhf1	wild type smt3	no		
pro-smt3allR_plate3	E13	pro-smt3allR_plate3_E13	YBR088C	Pol30	pro-smt3allR	no	very few cells	
smt3allR_plate3	E13	smt3allR_plate3_E13	YBR088C	Pol30	smt3allR	no	very few cells	
WT_plate3	E13	WT_plate3_E13	YBR088C	Pol30	wild type smt3	no		
pro-smt3allR_plate1	I7	pro-smt3allR_plate1_I7	YBR114W	RAD16	pro-smt3allR	no		
smt3allR_plate1	I7	smt3allR_plate1_I7	YBR114W	RAD16	smt3allR	no		
WT_plate1	I7	WT_plate1_I7	YBR114W	RAD16	wild type smt3	no		
pro-smt3allR_plate4	C9	pro-smt3allR_plate4_C9	YBR132C	AGP2	pro-smt3allR	no		
smt3allR_plate4	C9	smt3allR_plate4_C9	YBR132C	AGP2	smt3allR	no		
WT_plate4	C9	WT_plate4_C9	YBR132C	AGP2	wild type smt3	no		
pro-smt3allR_plate1	I15	pro-smt3allR_plate1_I15	YBR133C	HSL7	pro-smt3allR	no		
smt3allR_plate1	I15	smt3allR_plate1_I15	YBR133C	HSL7	smt3allR	no		
WT_plate1	I15	WT_plate1_I15	YBR133C	HSL7	wild type smt3	no		
pro-smt3allR_plate3	G21	pro-smt3allR_plate3_G21	YBR197C	YBR197C	pro-smt3allR	no		
smt3allR_plate3	G21	smt3allR_plate3_G21	YBR197C	YBR197C	smt3allR	no		
WT_plate3	G21	WT_plate3_G21	YBR197C	YBR197C	wild type smt3	no		
pro-smt3allR_plate3	A15	pro-smt3allR_plate3_A15	YBR211C	AME1	pro-smt3allR	no		
smt3allR_plate3	A15	smt3allR_plate3_A15	YBR211C	AME1	smt3allR	no		
WT_plate3	A15	WT_plate3_A15	YBR211C	AME1	wild type smt3	no		
pro-smt3allR_plate2	K23	pro-smt3allR_plate2_K23	YBR234C	ARC40	pro-smt3allR	no		
smt3allR_plate2	K23	smt3allR_plate2_K23	YBR234C	ARC40	smt3allR	no		
WT_plate2	K23	WT_plate2_K23	YBR234C	ARC40	wild type smt3	no		
pro-smt3allR_plate2	M19	pro-smt3allR_plate2_M19	YBR249C	ARO4	pro-smt3allR	no		
smt3allR_plate2	M19	smt3allR_plate2_M19	YBR249C	ARO4	smt3allR	no		
WT_plate2	M19	WT_plate2_M19	YBR249C	ARO4	wild type smt3	no		
pro-smt3allR_plate3	M7	pro-smt3allR_plate3_M7	YBR258C	SHG1	pro-smt3allR	no		
smt3allR_plate3	M7	smt3allR_plate3_M7	YBR258C	SHG1	smt3allR	no		
WT_plate3	M7	WT_plate3_M7	YBR258C	SHG1	wild type smt3	no		
pro-smt3allR_plate2	E11	pro-smt3allR_plate2_E11	YBR274W	CHK1	pro-smt3allR	no		
smt3allR_plate2	E11	smt3allR_plate2_E11	YBR274W	CHK1	smt3allR	no		
WT_plate2	E11	WT_plate2_E11	YBR274W	CHK1	wild type smt3	no		
pro-smt3allR_plate4	E15	pro-smt3allR_plate4_E15	YCL027W	FUS1	pro-smt3allR	no		
smt3allR_plate4	E15	smt3allR_plate4_E15	YCL027W	FUS1	smt3allR	no		
WT_plate4	E15	WT_plate4_E15	YCL027W	FUS1	wild type smt3	no		
pro-smt3allR_plate4	G13	pro-smt3allR_plate4_G13	YCR021C	HSP30	pro-smt3allR	no		
smt3allR_plate4	G13	smt3allR_plate4_G13	YCR021C	HSP30	smt3allR	no		
WT_plate4	G13	WT_plate4_G13	YCR021C	HSP30	wild type smt3	no		
pro-smt3allR_plate4	G3	pro-smt3allR_plate4_G3	YCR028C	FEN2	pro-smt3allR	no		
smt3allR_plate4	G3	smt3allR_plate4_G3	YCR028C	FEN2	smt3allR	no		
WT_plate4	G3	WT_plate4_G3	YCR028C	FEN2	wild type smt3	no		
pro-smt3allR_plate3	K17	pro-smt3allR_plate3_K17	YCR028C-A	Rim1	pro-smt3allR	no		
smt3allR_plate3	K17	smt3allR_plate3_K17	YCR028C-A	Rim1	smt3allR	no		
WT_plate3	K17	WT_plate3_K17	YCR028C-A	Rim1	wild type smt3	no		
pro-smt3allR_plate2	C23	pro-smt3allR_plate2_C23	YCR054C	CTR86	pro-smt3allR	no		
smt3allR_plate2	C23	smt3allR_plate2_C23	YCR054C	CTR86	smt3allR	no		
WT_plate2	C23	WT_plate2_C23	YCR054C	CTR86	wild type smt3	no		
pro-smt3allR_plate4	G11	pro-smt3allR_plate4_G11	YCR069W	CPR4	pro-smt3allR	no		
smt3allR_plate4	G11	smt3allR_plate4_G11	YCR069W	CPR4	smt3allR	no		
WT_plate4	G11	WT_plate4_G11	YCR069W	CPR4	wild type smt3	no		
pro-smt3allR_plate3	I15	pro-smt3allR_plate3_I15	YCR086W	Csm1	pro-smt3allR	no		
smt3allR_plate3	I15	smt3allR_plate3_I15	YCR086W	Csm1	smt3allR	no		
WT_plate3	I15	WT_plate3_I15	YCR086W	Csm1	wild type smt3	no		
pro-smt3allR_plate1	C15	pro-smt3allR_plate1_C15	YCR092C	Msh3	pro-smt3allR	no		
smt3allR_plate1	C15	smt3allR_plate1_C15	YCR092C	Msh3	smt3allR	no		
WT_plate1	C15	WT_plate1_C15	YCR092C	Msh3	wild type smt3	no		
pro-smt3allR_plate4	I11	pro-smt3allR_plate4_I11	YDL015C	TSC13	pro-smt3allR	no		
smt3allR_plate4	I11	smt3allR_plate4_I11	YDL015C	TSC13	smt3allR	no		
WT_plate4	I11	WT_plate4_I11	YDL015C	TSC13	wild type smt3	no		
pro-smt3allR_plate2	I9	pro-smt3allR_plate2_I9	YDL048C	STP4	pro-smt3allR	no		
smt3allR_plate2	I9	smt3allR_plate2_I9	YDL048C	STP4	smt3allR	no		
WT_plate2	I9	WT_plate2_I9	YDL048C	STP4	wild type smt3	no		
pro-smt3allR_plate3	O9	pro-smt3allR_plate3_O9	YDL067C	COX9	pro-smt3allR	no		
smt3allR_plate3	O9	smt3allR_plate3_O9	YDL067C	COX9	smt3allR	no		
WT_plate3	O9	WT_plate3_O9	YDL067C	COX9	wild type smt3	no		
pro-smt3allR_plate2	I23	pro-smt3allR_plate2_I23	YDL084W	SUB2	pro-smt3allR	no		
smt3allR_plate2	I23	smt3allR_plate2_I23	YDL084W	SUB2	smt3allR	no		
WT_plate2	I23	WT_plate2_I23	YDL084W	SUB2	wild type smt3	no		
pro-smt3allR_plate3	G11	pro-smt3allR_plate3_G11	YDL115C	IWR1	pro-smt3allR	no		
smt3allR_plate3	G11	smt3allR_plate3_G11	YDL115C	IWR1	smt3allR	no		
WT_plate3	G11	WT_plate3_G11	YDL115C	IWR1	wild type smt3	no		
smt3allR_plate4	M23	smt3allR_plate4_M23	YDL117W	CYK3	smt3allR	no	no colony	
pro-smt3allR_plate4	M23	pro-smt3allR_plate4_M23	YDL117W	CYK3	pro-smt3allR	no		
WT_plate4	M23	WT_plate4_M23	YDL117W	CYK3	wild type smt3	no		
pro-smt3allR_plate1	I21	pro-smt3allR_plate1_I21	YDL126C	Cdc48	pro-smt3allR	no	few cells	
smt3allR_plate1	I21	smt3allR_plate1_I21	YDL126C	Cdc48	smt3allR	no	no colony	
WT_plate1	I21	WT_plate1_I21	YDL126C	Cdc48	wild type smt3	no		
pro-smt3allR_plate3	E7	pro-smt3allR_plate3_E7	YDL129W	YDL129W	pro-smt3allR	no		
smt3allR_plate3	E7	smt3allR_plate3_E7	YDL129W	YDL129W	smt3allR	no		
WT_plate3	E7	WT_plate3_E7	YDL129W	YDL129W	wild type smt3	no		
pro-smt3allR_plate2	K11	pro-smt3allR_plate2_K11	YDL155W	CLB3	pro-smt3allR	no		
smt3allR_plate2	K11	smt3allR_plate2_K11	YDL155W	CLB3	smt3allR	no		
WT_plate2	K11	WT_plate2_K11	YDL155W	CLB3	wild type smt3	no		
pro-smt3allR_plate2	I21	pro-smt3allR_plate2_I21	YDL161W	ENT1	pro-smt3allR	no		
smt3allR_plate2	I21	smt3allR_plate2_I21	YDL161W	ENT1	smt3allR	no		
WT_plate2	I21	WT_plate2_I21	YDL161W	ENT1	wild type smt3	no		
pro-smt3allR_plate3	K3	pro-smt3allR_plate3_K3	YDL166C	FAP7	pro-smt3allR	no		
smt3allR_plate3	K3	smt3allR_plate3_K3	YDL166C	FAP7	smt3allR	no		
WT_plate3	K3	WT_plate3_K3	YDL166C	FAP7	wild type smt3	no		
pro-smt3allR_plate2	M1	pro-smt3allR_plate2_M1	YDL204W	RTN2	pro-smt3allR	no		
smt3allR_plate2	M1	smt3allR_plate2_M1	YDL204W	RTN2	smt3allR	no		
WT_plate2	M1	WT_plate2_M1	YDL204W	RTN2	wild type smt3	no		
pro-smt3allR_plate3	I21	pro-smt3allR_plate3_I21	YDR066C	RTR2	pro-smt3allR	no		
smt3allR_plate3	I21	smt3allR_plate3_I21	YDR066C	RTR2	smt3allR	no		
WT_plate3	I21	WT_plate3_I21	YDR066C	RTR2	wild type smt3	no		
pro-smt3allR_plate4	O17	pro-smt3allR_plate4_O17	YDR076W	RAD55	pro-smt3allR	no		
smt3allR_plate4	O17	smt3allR_plate4_O17	YDR076W	RAD55	smt3allR	no		
WT_plate4	O17	WT_plate4_O17	YDR076W	RAD55	wild type smt3	no		
pro-smt3allR_plate1	G11	pro-smt3allR_plate1_G11	YDR089W	YDR089W	pro-smt3allR	no		
smt3allR_plate1	G11	smt3allR_plate1_G11	YDR089W	YDR089W	smt3allR	no		
WT_plate1	G11	WT_plate1_G11	YDR089W	YDR089W	wild type smt3	no		
pro-smt3allR_plate3	E21	pro-smt3allR_plate3_E21	YDR099W	BMH2	pro-smt3allR	no		
smt3allR_plate3	E21	smt3allR_plate3_E21	YDR099W	BMH2	smt3allR	no		
WT_plate3	E21	WT_plate3_E21	YDR099W	BMH2	wild type smt3	no		
pro-smt3allR_plate3	M15	pro-smt3allR_plate3_M15	YDR115W	YDR115W	pro-smt3allR	no		
smt3allR_plate3	M15	smt3allR_plate3_M15	YDR115W	YDR115W	smt3allR	no		
WT_plate3	M15	WT_plate3_M15	YDR115W	YDR115W	wild type smt3	no		
pro-smt3allR_plate2	A19	pro-smt3allR_plate2_A19	YDR118W	APC4	pro-smt3allR	no		
smt3allR_plate2	A19	smt3allR_plate2_A19	YDR118W	APC4	smt3allR	no		
WT_plate2	A19	WT_plate2_A19	YDR118W	APC4	wild type smt3	no		
pro-smt3allR_plate4	O15	pro-smt3allR_plate4_O15	YDR129C	SAC6	pro-smt3allR	no		
smt3allR_plate4	O15	smt3allR_plate4_O15	YDR129C	SAC6	smt3allR	no		
WT_plate4	O15	WT_plate4_O15	YDR129C	SAC6	wild type smt3	no		
pro-smt3allR_plate3	E5	pro-smt3allR_plate3_E5	YDR130C	FIN1	pro-smt3allR	no		
smt3allR_plate3	E5	smt3allR_plate3_E5	YDR130C	FIN1	smt3allR	no		
WT_plate3	E5	WT_plate3_E5	YDR130C	FIN1	wild type smt3	no		
pro-smt3allR_plate2	G23	pro-smt3allR_plate2_G23	YDR132C	YDR132C	pro-smt3allR	no		
smt3allR_plate2	G23	smt3allR_plate2_G23	YDR132C	YDR132C	smt3allR	no		
WT_plate2	G23	WT_plate2_G23	YDR132C	YDR132C	wild type smt3	no		
pro-smt3allR_plate2	E17	pro-smt3allR_plate2_E17	YDR169C	STB3	pro-smt3allR	no		
smt3allR_plate2	E17	smt3allR_plate2_E17	YDR169C	STB3	smt3allR	no		
WT_plate2	E17	WT_plate2_E17	YDR169C	STB3	wild type smt3	no		
smt3allR_plate2	I13	smt3allR_plate2_I13	YDR190C	Rvb1	smt3allR	no	few cells	
pro-smt3allR_plate2	I13	pro-smt3allR_plate2_I13	YDR190C	Rvb1	pro-smt3allR	no	no colony	
WT_plate2	I13	WT_plate2_I13	YDR190C	Rvb1	wild type smt3	no		
pro-smt3allR_plate1	M19	pro-smt3allR_plate1_M19	YDR211W	GCD6	pro-smt3allR	no		
smt3allR_plate1	M19	smt3allR_plate1_M19	YDR211W	GCD6	smt3allR	no		
WT_plate1	M19	WT_plate1_M19	YDR211W	GCD6	wild type smt3	no		
pro-smt3allR_plate1	A19	pro-smt3allR_plate1_A19	YDR217C	Rad9	pro-smt3allR	no	very few cells	
smt3allR_plate1	A19	smt3allR_plate1_A19	YDR217C	Rad9	smt3allR	no		
WT_plate1	A19	WT_plate1_A19	YDR217C	Rad9	wild type smt3	no		
pro-smt3allR_plate3	C13	pro-smt3allR_plate3_C13	YDR288W	NSE3	pro-smt3allR	no	very few cells	
smt3allR_plate3	C13	smt3allR_plate3_C13	YDR288W	NSE3	smt3allR	no		
WT_plate3	C13	WT_plate3_C13	YDR288W	NSE3	wild type smt3	no		
pro-smt3allR_plate4	E19	pro-smt3allR_plate4_E19	YDR323C	PEP7	pro-smt3allR	no		
smt3allR_plate4	E19	smt3allR_plate4_E19	YDR323C	PEP7	smt3allR	no		
WT_plate4	E19	WT_plate4_E19	YDR323C	PEP7	wild type smt3	no		
pro-smt3allR_plate2	G17	pro-smt3allR_plate2_G17	YDR348C	YDR348C	pro-smt3allR	no		
smt3allR_plate2	G17	smt3allR_plate2_G17	YDR348C	YDR348C	smt3allR	no		
WT_plate2	G17	WT_plate2_G17	YDR348C	YDR348C	wild type smt3	no		
pro-smt3allR_plate3	E3	pro-smt3allR_plate3_E3	YDR384C	ATO3	pro-smt3allR	no		
smt3allR_plate3	E3	smt3allR_plate3_E3	YDR384C	ATO3	smt3allR	no		
WT_plate3	E3	WT_plate3_E3	YDR384C	ATO3	wild type smt3	no		
pro-smt3allR_plate1	G15	pro-smt3allR_plate1_G15	YDR409W	Siz1	pro-smt3allR	no		
smt3allR_plate1	G15	smt3allR_plate1_G15	YDR409W	Siz1	smt3allR	no		
WT_plate1	G15	WT_plate1_G15	YDR409W	Siz1	wild type smt3	no		
pro-smt3allR_plate4	G15	pro-smt3allR_plate4_G15	YDR414C	ERD1	pro-smt3allR	no		
smt3allR_plate4	G15	smt3allR_plate4_G15	YDR414C	ERD1	smt3allR	no		
WT_plate4	G15	WT_plate4_G15	YDR414C	ERD1	wild type smt3	no		
pro-smt3allR_plate3	C17	pro-smt3allR_plate3_C17	YDR429C	TIF35	pro-smt3allR	no	very few cells	
smt3allR_plate3	C17	smt3allR_plate3_C17	YDR429C	TIF35	smt3allR	no		
WT_plate3	C17	WT_plate3_C17	YDR429C	TIF35	wild type smt3	no		
pro-smt3allR_plate2	O11	pro-smt3allR_plate2_O11	YDR439W	Lrs4	pro-smt3allR	no		
smt3allR_plate2	O11	smt3allR_plate2_O11	YDR439W	Lrs4	smt3allR	no		
WT_plate2	O11	WT_plate2_O11	YDR439W	Lrs4	wild type smt3	no		
pro-smt3allR_plate3	E1	pro-smt3allR_plate3_E1	YDR450W	RPS18A	pro-smt3allR	no		
smt3allR_plate3	E1	smt3allR_plate3_E1	YDR450W	RPS18A	smt3allR	no		
WT_plate3	E1	WT_plate3_E1	YDR450W	RPS18A	wild type smt3	no		
pro-smt3allR_plate2	A1	pro-smt3allR_plate2_A1	YDR452W	PPN1	pro-smt3allR	no		
smt3allR_plate2	A1	smt3allR_plate2_A1	YDR452W	PPN1	smt3allR	no		
WT_plate2	A1	WT_plate2_A1	YDR452W	PPN1	wild type smt3	no		
pro-smt3allR_plate2	E1	pro-smt3allR_plate2_E1	YDR479C	PEX29	pro-smt3allR	no		
smt3allR_plate2	E1	smt3allR_plate2_E1	YDR479C	PEX29	smt3allR	no		
WT_plate2	E1	WT_plate2_E1	YDR479C	PEX29	wild type smt3	no		
pro-smt3allR_plate4	E5	pro-smt3allR_plate4_E5	YDR481C	PHO8	pro-smt3allR	no		
smt3allR_plate4	E5	smt3allR_plate4_E5	YDR481C	PHO8	smt3allR	no		
WT_plate4	E5	WT_plate4_E5	YDR481C	PHO8	wild type smt3	no		
smt3allR_plate4	O5	smt3allR_plate4_O5	YDR519W	FPR2	smt3allR	no	no colony	
pro-smt3allR_plate4	O5	pro-smt3allR_plate4_O5	YDR519W	FPR2	pro-smt3allR	no		
WT_plate4	O5	WT_plate4_O5	YDR519W	FPR2	wild type smt3	no		
smt3allR_plate1	M9	smt3allR_plate1_M9	YEL011W	GLC3	smt3allR	no	no colony	
pro-smt3allR_plate1	M9	pro-smt3allR_plate1_M9	YEL011W	GLC3	pro-smt3allR	no		
WT_plate1	M9	WT_plate1_M9	YEL011W	GLC3	wild type smt3	no		
pro-smt3allR_plate1	E21	pro-smt3allR_plate1_E21	YER047C	SAP1	pro-smt3allR	no		
smt3allR_plate1	E21	smt3allR_plate1_E21	YER047C	SAP1	smt3allR	no		
WT_plate1	E21	WT_plate1_E21	YER047C	SAP1	wild type smt3	no		
pro-smt3allR_plate4	C15	pro-smt3allR_plate4_C15	YER056C	FCY2	pro-smt3allR	no		
smt3allR_plate4	C15	smt3allR_plate4_C15	YER056C	FCY2	smt3allR	no		
WT_plate4	C15	WT_plate4_C15	YER056C	FCY2	wild type smt3	no		
pro-smt3allR_plate4	E17	pro-smt3allR_plate4_E17	YER064C	YER064C	pro-smt3allR	no		
smt3allR_plate4	E17	smt3allR_plate4_E17	YER064C	YER064C	smt3allR	no		
WT_plate4	E17	WT_plate4_E17	YER064C	YER064C	wild type smt3	no		
pro-smt3allR_plate1	G13	pro-smt3allR_plate1_G13	YER070W	RNR1	pro-smt3allR	no		
smt3allR_plate1	G13	smt3allR_plate1_G13	YER070W	RNR1	smt3allR	no		
WT_plate1	G13	WT_plate1_G13	YER070W	RNR1	wild type smt3	no		
pro-smt3allR_plate2	A5	pro-smt3allR_plate2_A5	YER088C	DOT6	pro-smt3allR	no		
smt3allR_plate2	A5	smt3allR_plate2_A5	YER088C	DOT6	smt3allR	no		
WT_plate2	A5	WT_plate2_A5	YER088C	DOT6	wild type smt3	no		
pro-smt3allR_plate2	K15	pro-smt3allR_plate2_K15	YER095W	RAD51	pro-smt3allR	no		
smt3allR_plate2	K15	smt3allR_plate2_K15	YER095W	RAD51	smt3allR	no		
WT_plate2	K15	WT_plate2_K15	YER095W	RAD51	wild type smt3	no		
pro-smt3allR_plate3	G3	pro-smt3allR_plate3_G3	YER116C	SLX8	pro-smt3allR	no	few cells	
smt3allR_plate3	G3	smt3allR_plate3_G3	YER116C	SLX8	smt3allR	no	few cells	
WT_plate3	G3	WT_plate3_G3	YER116C	SLX8	wild type smt3	no		
pro-smt3allR_plate2	C21	pro-smt3allR_plate2_C21	YER124C	DSE1	pro-smt3allR	no		
smt3allR_plate2	C21	smt3allR_plate2_C21	YER124C	DSE1	smt3allR	no		
WT_plate2	C21	WT_plate2_C21	YER124C	DSE1	wild type smt3	no		
pro-smt3allR_plate4	M11	pro-smt3allR_plate4_M11	YER170W	ADK2	pro-smt3allR	no		
smt3allR_plate4	M11	smt3allR_plate4_M11	YER170W	ADK2	smt3allR	no		
WT_plate4	M11	WT_plate4_M11	YER170W	ADK2	wild type smt3	no		
pro-smt3allR_plate2	A11	pro-smt3allR_plate2_A11	YER173W	RAD24	pro-smt3allR	no		
smt3allR_plate2	A11	smt3allR_plate2_A11	YER173W	RAD24	smt3allR	no		
WT_plate2	A11	WT_plate2_A11	YER173W	RAD24	wild type smt3	no		
pro-smt3allR_plate3	E19	pro-smt3allR_plate3_E19	YER177W	BMH1	pro-smt3allR	no		
smt3allR_plate3	E19	smt3allR_plate3_E19	YER177W	BMH1	smt3allR	no		
WT_plate3	E19	WT_plate3_E19	YER177W	BMH1	wild type smt3	no		
pro-smt3allR_plate1	I3	pro-smt3allR_plate1_I3	YFL023W	BUD27	pro-smt3allR	no		
smt3allR_plate1	I3	smt3allR_plate1_I3	YFL023W	BUD27	smt3allR	no		
WT_plate1	I3	WT_plate1_I3	YFL023W	BUD27	wild type smt3	no		
pro-smt3allR_plate1	M11	pro-smt3allR_plate1_M11	YFL047W	RGD2	pro-smt3allR	no		
smt3allR_plate1	M11	smt3allR_plate1_M11	YFL047W	RGD2	smt3allR	no		
WT_plate1	M11	WT_plate1_M11	YFL047W	RGD2	wild type smt3	no		
pro-smt3allR_plate4	G21	pro-smt3allR_plate4_G21	YFL062W	COS4	pro-smt3allR	no		
smt3allR_plate4	G21	smt3allR_plate4_G21	YFL062W	COS4	smt3allR	no		
WT_plate4	G21	WT_plate4_G21	YFL062W	COS4	wild type smt3	no		
pro-smt3allR_plate3	I19	pro-smt3allR_plate3_I19	YFR001W	LOC1	pro-smt3allR	no		
smt3allR_plate3	I19	smt3allR_plate3_I19	YFR001W	LOC1	smt3allR	no		
WT_plate3	I19	WT_plate3_I19	YFR001W	LOC1	wild type smt3	no		
pro-smt3allR_plate1	O21	pro-smt3allR_plate1_O21	YFR015C	GSY1	pro-smt3allR	no		
smt3allR_plate1	O21	smt3allR_plate1_O21	YFR015C	GSY1	smt3allR	no		
WT_plate1	O21	WT_plate1_O21	YFR015C	GSY1	wild type smt3	no		
pro-smt3allR_plate3	C21	pro-smt3allR_plate3_C21	YFR027W	ECO1	pro-smt3allR	no		
smt3allR_plate3	C21	smt3allR_plate3_C21	YFR027W	ECO1	smt3allR	no		
WT_plate3	C21	WT_plate3_C21	YFR027W	ECO1	wild type smt3	no		
pro-smt3allR_plate2	E7	pro-smt3allR_plate2_E7	YFR028C	Cdc14	pro-smt3allR	no		
smt3allR_plate2	E7	smt3allR_plate2_E7	YFR028C	Cdc14	smt3allR	no		
WT_plate2	E7	WT_plate2_E7	YFR028C	Cdc14	wild type smt3	no		
pro-smt3allR_plate3	O7	pro-smt3allR_plate3_O7	YGL032C	AGA2	pro-smt3allR	no		
smt3allR_plate3	O7	smt3allR_plate3_O7	YGL032C	AGA2	smt3allR	no		
WT_plate3	O7	WT_plate3_O7	YGL032C	AGA2	wild type smt3	no		
pro-smt3allR_plate2	A15	pro-smt3allR_plate2_A15	YGL071W	AFT1	pro-smt3allR	no		
smt3allR_plate2	A15	smt3allR_plate2_A15	YGL071W	AFT1	smt3allR	no		
WT_plate2	A15	WT_plate2_A15	YGL071W	AFT1	wild type smt3	no		
pro-smt3allR_plate2	K7	pro-smt3allR_plate2_K7	YGL090W	LIF1	pro-smt3allR	no		
smt3allR_plate2	K7	smt3allR_plate2_K7	YGL090W	LIF1	smt3allR	no		
