Plate	Well	Plate_Well	Gene Identifier	Gene Symbol	Experimental Condition[genotype]	Changed in allR	Observation	Phenotype
smt3allR_plate2	E21	smt3allR_plate2_E21	YDL101C	DUN1	smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
WT_plate2	E21	WT_plate2_E21	YDL101C	DUN1	wild type smt3	yes		
pro-smt3allR_plate2	M23	pro-smt3allR_plate2_M23	YDL134C	PPH21	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate2	M23	smt3allR_plate2_M23	YDL134C	PPH21	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate2	M23	WT_plate2_M23	YDL134C	PPH21	wild type smt3	yes		
pro-smt3allR_plate4	O23	pro-smt3allR_plate4_O23	YDL142C	CRD1	pro-smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
smt3allR_plate4	O23	smt3allR_plate4_O23	YDL142C	CRD1	smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
WT_plate4	O23	WT_plate4_O23	YDL142C	CRD1	wild type smt3	yes		
pro-smt3allR_plate2	G13	pro-smt3allR_plate2_G13	YDL156W	YDL156W	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate2	G13	smt3allR_plate2_G13	YDL156W	YDL156W	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate2	G13	WT_plate2_G13	YDL156W	YDL156W	wild type smt3	yes		
pro-smt3allR_plate2	G15	pro-smt3allR_plate2_G15	YDL160C	DHH1	pro-smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
smt3allR_plate2	G15	smt3allR_plate2_G15	YDL160C	DHH1	smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
WT_plate2	G15	WT_plate2_G15	YDL160C	DHH1	wild type smt3	yes		
pro-smt3allR_plate2	I15	pro-smt3allR_plate2_I15	YDR004W	RAD57	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate2	I15	smt3allR_plate2_I15	YDR004W	RAD57	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate2	I15	WT_plate2_I15	YDR004W	RAD57	wild type smt3	yes		
pro-smt3allR_plate3	I11	pro-smt3allR_plate3_I11	YDR041W	RSM10	pro-smt3allR	yes	more fragmented	the smt3allR mutant cells display more fragmented cytoplasmic structures as compared to the WT
smt3allR_plate3	I11	smt3allR_plate3_I11	YDR041W	RSM10	smt3allR	yes	more fragmented	the smt3allR mutant cells display more fragmented cytoplasmic structures as compared to the WT
WT_plate3	I11	WT_plate3_I11	YDR041W	RSM10	wild type smt3	yes		
pro-smt3allR_plate1	M17	pro-smt3allR_plate1_M17	YDR052C	DBF4	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate1	M17	smt3allR_plate1_M17	YDR052C	DBF4	smt3allR	yes	no colony	
WT_plate1	M17	WT_plate1_M17	YDR052C	DBF4	wild type smt3	yes		
pro-smt3allR_plate4	A7	pro-smt3allR_plate4_A7	YDR080W	VPS41	pro-smt3allR	yes	odd shaped cells and more foci	the smt3allR mutant population contains odd shaped cells and the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate4	A7	smt3allR_plate4_A7	YDR080W	VPS41	smt3allR	yes	odd shaped cells and more foci	the smt3allR mutant population contains odd shaped cells and the smt3allR mutant population displays an increased number of cells with foci
WT_plate4	A7	WT_plate4_A7	YDR080W	VPS41	wild type smt3	yes		
pro-smt3allR_plate3	A21	pro-smt3allR_plate3_A21	YDR090C	YDR090C	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate3	A21	smt3allR_plate3_A21	YDR090C	YDR090C	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate3	A21	WT_plate3_A21	YDR090C	YDR090C	wild type smt3	yes		
pro-smt3allR_plate1	C9	pro-smt3allR_plate1_C9	YDR128W	MTC5	pro-smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
smt3allR_plate1	C9	smt3allR_plate1_C9	YDR128W	MTC5	smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
WT_plate1	C9	WT_plate1_C9	YDR128W	MTC5	wild type smt3	yes		
pro-smt3allR_plate2	K3	pro-smt3allR_plate2_K3	YDR170W-A	YDR170W-A	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
