Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Temperature Sensitive Allele	Restrictive Temperature	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Channels	Comments	Plate Issues
Plate3-TS-Yellow-A	16	B8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07746	YER133W	GLC7	glc7-12	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	17	C1											empty well			
Plate3-TS-Yellow-A	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06474	YEL032W	MCM3	mcm3-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06505	YGL130W	CEG1	ceg1-C354	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07246	YFL039C	ACT1	act1-101	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07389	YAL041W	CDC24	cdc24-11	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07411	YGR092W	DBF2	dbf2-3	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	23	C7											empty well			
Plate3-TS-Yellow-A	24	C8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07743	YER133W	GLC7	glc7-10	38.5oC slow	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	25	D1											empty well			
Plate3-TS-Yellow-A	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06468	YBL023C	MCM2	mcm2-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06502	YLR305C	STT4	stt4-4	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07243	YDL102W	CDC2	cdc2-2	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07386	YOR074C	CDC21	cdc21-ts	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07408	YGR092W	DBF2	dbf2-2	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07439	YOL094C	RFC4	rfc4-20	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	32	D8											empty well			
Plate3-TS-Yellow-A	33	E1											empty well			
Plate3-TS-Yellow-A	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06465	YIL150C	MCM10	mcm10-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06499	YPR055W	SEC8	sec8-9	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	36	E4											empty well			
Plate3-TS-Yellow-A	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07385	YFR028C	CDC14	cdc14-3	26oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07405	YGR092W	DBF2	dbf2-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07436	YDL028C	MPS1	mps1-6	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	40	E8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07737	YER125W	RSP5	rsp5-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	41	F1											empty well			
Plate3-TS-Yellow-A	42	F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06462	YDL108W	KIN28	kin28-ts	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	43	F3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06494	YLR268W	SEC22	sec22-3	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	44	F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07240	YGR140W	CBF2	cbf2-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	45	F5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07353	YFR028C	CDC14	cdc14-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	46	F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07402	YBR109C	CMD1	cmd1-8	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	47	F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07433	YDL028C	MPS1	mps1-417	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-A	48	F8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07732	YDR087C	RRP1	rrp1-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	1	A1											empty well			
Plate3-TS-Yellow-B	2	A2											empty well			
Plate3-TS-Yellow-B	3	A3											empty well			
Plate3-TS-Yellow-B	4	A4											empty well			
Plate3-TS-Yellow-B	5	A5											empty well			
Plate3-TS-Yellow-B	6	A6											empty well			
Plate3-TS-Yellow-B	7	A7											empty well			
Plate3-TS-Yellow-B	8	A8											empty well			
Plate3-TS-Yellow-B	9	B1											empty well			
Plate3-TS-Yellow-B	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06492	YPL085W	SEC16	sec16-2	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07239	YDL017W	CDC7	cdc7-4	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07352	YPR176C	BET2	bet2-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07400	YBR109C	CMD1	cmd1-3	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07430	YDL028C	MPS1	mps1-3796	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07731	YDL126C	CDC48	cdc48-9	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	16	B8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07766	YKL210W	UBA1	uba1-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	17	C1											empty well			
Plate3-TS-Yellow-B	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06489	YMR235C	RNA1	rna1-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07236	YLR314C	CDC3	cdc3-3	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07351	YFL039C	ACT1	act1-136	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07398	YBR109C	CMD1	cmd1-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07427	YDL028C	MPS1	mps1-1	26oC - 30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	23	C7											empty well			
Plate3-TS-Yellow-B	24	C8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07762	YKL145W	RPT1	rpt1-1	37oC - 38.5oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	25	D1											empty well			
Plate3-TS-Yellow-B	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06487	YBR237W	PRP5	prp5-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06593	YDR208W	MSS4	mss4-103	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07350	YFL039C	ACT1	act1-133	37oC slow	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	29	D5											empty well			
Plate3-TS-Yellow-B	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07424	YPL209C	IPL1	ipl1-1	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07727	YBR110W	ALG1	alg1-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	32	D8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07759	YIL109C	SEC24	sec24-2	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	33	E1											empty well			
Plate3-TS-Yellow-B	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06484	YNL267W	PIK1	pik1-139	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06537	YDL014W	NOP1	nop1-3	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07349	YFL039C	ACT1	act1-125	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07397	YOR257W	CDC31	cdc31-5	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07423	YDR052C	DBF4	dbf4-4	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07496	YML031W	NDC1	ndc1-4	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	40	E8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07758	YIL048W	NEO1	neo1-2	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	41	F1											empty well			
Plate3-TS-Yellow-B	42	F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06481	YNL267W	PIK1	pik1-104	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	43	F3											empty well			
Plate3-TS-Yellow-B	44	F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07338	YOR336W	KRE5	kre5-ts2	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	45	F5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07395	YOR257W	CDC31	cdc31-2	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	46	F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07420	YDR052C	DBF4	dbf4-3	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	47	F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07489	YBR160W	CDC28	cdc28-13	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate3-TS-Yellow-B	48	F8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07755	YGR120C	COG2	cog2-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	1	A1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04869	YAR019C	CDC15	cdc15-2	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04980	YJR065C	ARP3	arp3-31	38.5oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07750	YGL048C	RPT6	rpt6-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08011	YPR103W	PRE2	pre2-75	38.5oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y09594	YPR034W	ARP7	arp7-E411K	"30oC - 35oC, slow at 22oC - 30oC"	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10306	YMR005W	TAF4	taf4-18	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	7	A7											empty well			
Plate4-TS-Blue-A	8	A8											empty well			
Plate4-TS-Blue-A	9	B1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04867	YDL220C	CDC13	cdc13-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04977	YKL018W	SWD2	swd2-1	slow at all	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07444	YOR335C	ALA1	ala1-1	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08009	YPR103W	PRE2	pre2-2	38.5oC slow	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y09439	YJL019W	MPS3	mps3-7	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate4-TS-Blue-A	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10284	YNL061W	NOP2	nop2-10	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate4-TS-Blue-A	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11239	YOR174W	MED4	med4-54	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	16	B8											empty well			
Plate4-TS-Blue-A	17	C1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04863	YDL017W	CDC7	cdc7-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04976	YKL189W	HYM1	hym1-15	38.5oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07348	YFL039C	ACT1	act1-108	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08005	YPR103W	PRE2	pre2-127	38.5oC slow	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08933	YDR510W	SMT3	smt3-331	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10206	YFL034C-B	MOB2	mob2-20	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11150	YLR321C	SFH1	sfh1-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	24	C8											empty well			
Plate4-TS-Blue-A	25	D1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04861	YMR001C	CDC5	cdc5-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04974	YOR257W	CDC31	cdc31-1	slow at all	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06598	YDR208W	MSS4	mss4-102	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08003	YPR103W	PRE2	pre2-1	38.5oC very slow	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08760	YOR074C	CDC21	cdc21-1	26oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10203	YFL034C-B	MOB2	mob2-19	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10703	YDR460W	TFB3	tfb3-ts	37oC - 38.5oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	32	D8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932						"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	no annotation available	
Plate4-TS-Blue-A	33	E1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04859	YFL009W	CDC4	cdc4-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04966	YDR196C	YDR196C	ydr196c-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06553	YNL222W	SSU72	ssu72-2	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07995	YOR048C	RAT1	rat1-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08749	YFR028C	CDC14	cdc14-8	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10201	YGR099W	TEL2	tel2-15	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10327	YBL034C	STU1	stu1-7	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-A	40	E8											empty well			
Plate4-TS-Blue-A	41	F1											empty well			
Plate4-TS-Blue-A	42	F2											empty well			
Plate4-TS-Blue-A	43	F3											empty well			
Plate4-TS-Blue-A	44	F4											empty well			
Plate4-TS-Blue-A	45	F5											empty well			
Plate4-TS-Blue-A	46	F6											empty well			
Plate4-TS-Blue-A	47	F7											empty well			
Plate4-TS-Blue-A	48	F8											empty well			
Plate4-TS-Blue-B	1	A1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04963	YIL062C	ARC15	arc15-10	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-B	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06497	YPR181C	SEC23	sec23-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-B	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07905	YOR181W	LAS17	las17-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-B	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08697	YOR181W	LAS17	las17-13	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-B	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10215	YFL034C-B	MOB2	mob2-28	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate4-TS-Blue-B	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10360	YIL046W	MET30	met30-6	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
