Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Temperature Sensitive Allele	Restrictive Temperature	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Channels	Comments	Plate Issues
Plate1-TS-Blue-B	25	D1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07801	YLR459W	GAB1	gab1-2	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07842	YLR378C	SEC61	sec61-2	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07908	YML064C	TEM1	tem1-3	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07955	YER013W	PRP22	prp22-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11564	YDR060W	MAK21	mak21-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	30	D6											empty well			
Plate1-TS-Blue-B	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08182	YAR007C	RFA1	rfa1-M2	38.5oC slow	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	32	D8											empty well			
Plate1-TS-Blue-B	33	E1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07796	YLR459W	GAB1	gab1-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07838	YOR075W	UFE1	ufe1-1	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	35	E3											empty well			
Plate1-TS-Blue-B	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07949	YBR156C	SLI15	sli15-3	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07985	YLL050C	COF1	cof1-8	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08066	YOR259C	RPT4	rpt4-150	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08150	YFR027W	ECO1	eco1-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Blue-B	40	E8											empty well			
